timestamp_us,pressure_pa,lat,lon,hae_alt_m,fix_type
853901013,101286.0,22.9101972,120.3111795,44.577,4.0
854333009,101284.0,22.91019,120.3111278,44.959,4.0
854873009,101286.0,22.9101833,120.3110806,44.906,4.0
855521011,101304.0,22.9101784,120.3110362,44.386,4.0
855942206,101310.43,22.9101756,120.3109941,43.714,4.0
856493019,101320.0,22.9101726,120.3109532,42.847,4.0
856925027,101354.0,22.9101707,120.3109124,41.993,4.0
857335404,101352.0,22.9101729,120.3108809,41.951,4.0
857897004,101353.0,22.9101753,120.3108596,41.931,4.0
858329108,101360.0,22.9101753,120.3108493,41.905,4.0
858869074,101361.0,22.9101751,120.3108487,41.875,4.0
859517106,101362.0,22.9101751,120.3108486,41.846,4.0
859949070,101362.0,22.910175,120.3108486,41.826,4.0
860489212,101364.0,22.9101751,120.3108486,41.797,4.0
860921384,101357.0,22.9101751,120.3108485,41.76,4.0
861342596,101358.71,22.910175,120.3108485,41.735,4.0
861461471,101358.0,22.910175,120.3108485,41.735,4.0
